Paper_ID,DOI,Journal,Year,Polymer_type,Polymer_conc_wt,Polymer_MW_kDa,Blend_ratio,Solvent_system,Solvent_ratio,Solution_viscosity_Pa_s,Solution_surface_tension_mN_m,Air_pressure_bar_std,Feed_rate_mLh_std,Working_distance_cm,Nozzle_type,Inner_nozzle_diam_mm,Outer_nozzle_diam_mm,Nozzle_protrusion_mm,Temperature_C,Humidity_pct,Collector_type,Collector_speed_RPM,Collection_time_min,Additive_type,Additive_loading_wt,Additive_particle_size_nm,Fiber_diameter_nm_std,Fiber_diameter_SD_nm,Fiber_diameter_min_nm,Fiber_diameter_max_nm,N_measurements,Bead_defects,Fiber_morphology,Fiber_alignment,Mat_thickness_um,Tensile_strength_MPa,Youngs_modulus_MPa,Elongation_at_break_pct,Contact_angle_deg,Porosity_pct,Crystallinity_pct,Antibacterial_activity,Application,Data_source,Comments,intrinsic_viscosity_dLg,c_star_wt_pct,c_over_cstar,Solvent_ST_mNm,Solvent_BP_C,Solvent_density_gmL,log_diameter
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,5.17,1.2,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,840.0,430,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,pressure_series_517kPa,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,6.733401891837359
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,4.14,1.2,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,1590.0,830,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,pressure_series_414kPa,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.371489295214277
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,1.38,1.2,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,2010.0,1130,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,pressure_series_138kPa,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.605890001053122
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PLA,10.0,66,NR,TFE,NR,NR,NR,2.76,1.2,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,170.0,NR,80,260,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II_III,PLA_in_TFE_SBS_comparison_midpoint_of_range_80-260nm,1.7974779653413822,3.9937907644839767,2.5038868057205454,21.08,74.0,1.393,5.135798437050262
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PS,10.0,190,NR,toluene,NR,NR,NR,2.76,1.2,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,2310.0,NR,220,4400,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II_III,PS_in_toluene_SBS_midpoint_of_range_220-4400nm,0.5721844004892431,20.157881558801183,0.4960838752241738,28.52,110.6,0.867,7.745002803515839
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,5.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,870.0,390,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,concentration_series_5pct,0.5611600373295292,11.967916950381234,0.4177836477918345,27.14,61.2,1.489,6.76849321164863
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,20.0,concentric,NR,NR,3.5,NR,NR,rotating_drum,800,NR,none,0,NR,3370.0,1520,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,protrusion_series_d=3.5mm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,8.122668023346407
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,20.0,concentric,NR,NR,3,NR,NR,rotating_drum,800,NR,none,0,NR,3040.0,1420,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,protrusion_series_d=3mm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,8.019612794400267
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,20.0,concentric,NR,NR,2.6,NR,NR,rotating_drum,800,NR,none,0,NR,2980.0,1330,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,protrusion_series_d=2.6mm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.9996785794994505
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,20.0,concentric,NR,NR,1,NR,NR,rotating_drum,800,NR,none,0,NR,2430.0,1260,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,protrusion_series_d=1mm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.795646536334594
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,0.69,1.2,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,1320.0,720,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,pressure_series_69kPa,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.1853870155804165
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,6.0,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,1010.0,460,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,feed_rate_series_100uLmin,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,6.917705609835305
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,4.8,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,1520.0,940,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,feed_rate_series_80uLmin,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.326465613840322
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,6.0,75,NR,chloroform/acetone,3:1,NR,NR,4.0,4.8,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,288.0,NR,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt17,1.2536879352677186,6.07615055865619,0.9874673022136187,26.22,59.925000000000004,1.31275,5.662960480135946
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,6.0,75,NR,chloroform/acetone,3:1,NR,NR,4.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,289.0,NR,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt18,1.2536879352677186,6.07615055865619,0.9874673022136187,26.22,59.925000000000004,1.31275,5.666426688112432
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,8.0,75,NR,chloroform/acetone,3:1,NR,NR,2.0,1.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,222.0,NR,NR,NR,100,no,smooth/branched,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt19_high_conc_branched_possible,1.2536879352677186,6.07615055865619,1.3166230696181582,26.22,59.925000000000004,1.31275,5.402677381872279
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,8.0,75,NR,chloroform/acetone,3:1,NR,NR,3.0,4.8,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,405.0,NR,NR,NR,100,no,smooth/branched,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt23,1.2536879352677186,6.07615055865619,1.3166230696181582,26.22,59.925000000000004,1.31275,6.003887067106539
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,8.0,75,NR,chloroform/acetone,3:1,NR,NR,4.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,378.0,NR,NR,NR,100,no,smooth/branched,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt27,1.2536879352677186,6.07615055865619,1.3166230696181582,26.22,59.925000000000004,1.31275,5.934894195619588
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,6.0,75,NR,chloroform/acetone,3:1,NR,NR,3.0,4.8,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,334.0,NR,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt14_center_point,1.2536879352677186,6.07615055865619,0.9874673022136187,26.22,59.925000000000004,1.31275,5.811140992976701
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,6.0,75,NR,chloroform/acetone,3:1,NR,NR,3.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,398.0,NR,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt15,1.2536879352677186,6.07615055865619,0.9874673022136187,26.22,59.925000000000004,1.31275,5.986452005284438
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,6.0,75,NR,chloroform/acetone,3:1,NR,NR,4.0,1.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,340.0,NR,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt16,1.2536879352677186,6.07615055865619,0.9874673022136187,26.22,59.925000000000004,1.31275,5.8289456176102075
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,8.0,75,NR,chloroform/acetone,3:1,NR,NR,2.0,4.8,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,609.0,NR,NR,NR,100,no,smooth/branched,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt20,1.2536879352677186,6.07615055865619,1.3166230696181582,26.22,59.925000000000004,1.31275,6.411818267709897
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,8.0,75,NR,chloroform/acetone,3:1,NR,NR,2.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,288.0,NR,NR,NR,100,no,smooth/branched,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt21,1.2536879352677186,6.07615055865619,1.3166230696181582,26.22,59.925000000000004,1.31275,5.662960480135946
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,8.0,75,NR,chloroform/acetone,3:1,NR,NR,3.0,1.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,322.0,NR,NR,NR,100,no,smooth/branched,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt22,1.2536879352677186,6.07615055865619,1.3166230696181582,26.22,59.925000000000004,1.31275,5.7745515455444085
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,4.0,75,NR,chloroform/acetone,3:1,NR,NR,2.0,1.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,184.0,NR,NR,NR,100,yes,beaded,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt1_low_conc_beads_expected,1.2536879352677186,6.07615055865619,0.6583115348090791,26.22,59.925000000000004,1.31275,5.214935757608986
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,4.0,75,NR,chloroform/acetone,3:1,NR,NR,2.0,4.8,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,183.0,NR,NR,NR,100,yes,beaded,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt2,1.2536879352677186,6.07615055865619,0.6583115348090791,26.22,59.925000000000004,1.31275,5.209486152841421
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,4.0,75,NR,chloroform/acetone,3:1,NR,NR,2.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,125.0,NR,NR,NR,100,yes,beaded,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt3,1.2536879352677186,6.07615055865619,0.6583115348090791,26.22,59.925000000000004,1.31275,4.8283137373023015
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,4.0,75,NR,chloroform/acetone,3:1,NR,NR,3.0,1.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,145.0,NR,NR,NR,100,yes,beaded,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt4,1.2536879352677186,6.07615055865619,0.6583115348090791,26.22,59.925000000000004,1.31275,4.976733742420574
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,4.0,75,NR,chloroform/acetone,3:1,NR,NR,3.0,4.8,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,180.0,NR,NR,NR,100,yes,beaded,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt5,1.2536879352677186,6.07615055865619,0.6583115348090791,26.22,59.925000000000004,1.31275,5.19295685089021
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,8.0,75,NR,chloroform/acetone,3:1,NR,NR,3.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,306.0,NR,NR,NR,100,no,smooth/branched,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt24,1.2536879352677186,6.07615055865619,1.3166230696181582,26.22,59.925000000000004,1.31275,5.723585101952381
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,8.0,75,NR,chloroform/acetone,3:1,NR,NR,4.0,1.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,332.0,NR,NR,NR,100,no,smooth/branched,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt25,1.2536879352677186,6.07615055865619,1.3166230696181582,26.22,59.925000000000004,1.31275,5.805134968916488
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,8.0,75,NR,chloroform/acetone,3:1,NR,NR,4.0,4.8,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,274.0,NR,NR,NR,100,no,smooth/branched,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt26,1.2536879352677186,6.07615055865619,1.3166230696181582,26.22,59.925000000000004,1.31275,5.6131281063880705
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,4.0,75,NR,chloroform/acetone,3:1,NR,NR,4.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,164.0,NR,NR,NR,100,yes,beaded,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt9,1.2536879352677186,6.07615055865619,0.6583115348090791,26.22,59.925000000000004,1.31275,5.099866427824199
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,6.0,75,NR,chloroform/acetone,3:1,NR,NR,2.0,1.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,354.0,NR,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt10,1.2536879352677186,6.07615055865619,0.9874673022136187,26.22,59.925000000000004,1.31275,5.869296913133774
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,6.0,75,NR,chloroform/acetone,3:1,NR,NR,2.0,4.8,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,388.0,NR,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt11,1.2536879352677186,6.07615055865619,0.9874673022136187,26.22,59.925000000000004,1.31275,5.961005339623274
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,6.0,75,NR,chloroform/acetone,3:1,NR,NR,2.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,426.0,NR,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt12,1.2536879352677186,6.07615055865619,0.9874673022136187,26.22,59.925000000000004,1.31275,6.054439346269371
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,6.0,75,NR,chloroform/acetone,3:1,NR,NR,3.0,1.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,325.0,NR,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt13,1.2536879352677186,6.07615055865619,0.9874673022136187,26.22,59.925000000000004,1.31275,5.783825182329737
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,4.0,75,NR,chloroform/acetone,3:1,NR,NR,3.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,172.0,NR,NR,NR,100,yes,beaded,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt6,1.2536879352677186,6.07615055865619,0.6583115348090791,26.22,59.925000000000004,1.31275,5.147494476813453
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,4.0,75,NR,chloroform/acetone,3:1,NR,NR,4.0,1.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,167.0,NR,NR,NR,100,yes,beaded,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt7,1.2536879352677186,6.07615055865619,0.6583115348090791,26.22,59.925000000000004,1.31275,5.117993812416755
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,4.0,75,NR,chloroform/acetone,3:1,NR,NR,4.0,4.8,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,228.0,NR,NR,NR,100,yes,beaded,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_II,Expt8,1.2536879352677186,6.07615055865619,0.6583115348090791,26.22,59.925000000000004,1.31275,5.429345628954441
Oliveira2013,10.1002/app.39061,J_Appl_Polym_Sci,2013,PLA,6.0,75,NR,chloroform,NR,NR,NR,4.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,300.0,150,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,120,NR,71,NR,drug_delivery/miscibility_study,Figure_4,neat_PLA_diameter_from_Figure4_approximate,1.9732914063844191,3.403408488428953,1.7629385424638402,27.14,61.2,1.489,5.703782474656201
Oliveira2013,10.1002/app.39061,J_Appl_Polym_Sci,2013,PEO,6.0,100,NR,chloroform,NR,NR,NR,4.0,7.2,12.0,concentric,NR,NR,2,NR,NR,rotating_drum,NR,NR,none,0,NR,250.0,50,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,38,NR,93,NR,drug_delivery/miscibility_study,Figure_4_and_5,neat_PEO_diameter_from_Figure4_approximate,0.9929102934053522,6.763870580492501,0.8870660561283417,27.14,61.2,1.489,5.521460917862246
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,12.0,200,NR,dimethyl_carbonate,NR,NR,29.2,2.7579,2.1,10.0,concentric,NR,NR,2,21,35,rotating_drum,300,NR,none,0,NR,329.0,110,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_2,BBD_run2_median=303nm,4.03783342804286,2.3167218552041913,5.179732721493381,28.5,90.0,1.069,5.796057750765372
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,8.0,200,NR,dimethyl_carbonate,NR,NR,28.9,2.7579,2.1,10.0,concentric,NR,NR,2,21,35,rotating_drum,300,NR,none,0,NR,110.0,32,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,17,NR,general_process_study,Table_2,BBD_run1_median=105nm,4.03783342804286,2.3167218552041913,3.4531551476622537,28.5,90.0,1.069,4.700480365792417
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,8.0,200,NR,dimethyl_carbonate,NR,NR,28.9,5.5158,2.1,10.0,concentric,NR,NR,2,21,35,rotating_drum,300,NR,none,0,NR,139.0,47,NR,NR,100,no,smooth,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_2,BBD_run3_median=125nm,4.03783342804286,2.3167218552041913,3.4531551476622537,28.5,90.0,1.069,4.9344739331306915
